age;anciennete_entreprise;salaire_mensuel;distance_domicile_km;nb_promotions_3ans;satisfaction_travail;heures_travail_hebdo;departement;teletravail;attrition
-5;9.2;134 000;6.7;0;1.5;38.0; Finance;Total;1
51;0.8; 444 000;14.6;0;2.1;48.0; Finance;Partiel;0
46;4.1;750   000;5.0;0;3.2;56.0; Ventes;jamais;0
38;1.7;470 000;2.6;0;;43.0;Ventes;partiel;0
38;2.9; 460 000;0.5;0;3.6;35.0;VENTES; Jamais;1
54;16.6;532000;0.5;1;1.4;35.0;Ventes;Partiel;0
25;2.2;584000;14.7;1;1.1;48.0; RH ;Jamais;1
48;4.7;150000;22.1;1;4.6;43.0;VENTES;Total;0
29;2.6;198000;6.3;0;4.1;48.0;finance;Jamais;0
25;0.8;482000;17.9;0;2.2;40.0;ventes;Jamais;0
42;0.2;343 000;8.2;0;3.2;48.0;Ventes;Partiel;0
59;6.2;647000;13.4;2;4.2;42.0;it; Jamais;0
49;0.4;403 000;7.6;0;3.6;39.0;Ventes; Total ;0
50;0.8;160000;7.2;2;3.3;41.0; PRODUCTION; PARTIEL;0
49;3.7;260000;3.4;2;4.3;36.0;it;jamais;0
51;1.5;90000;7.5;0;2.5;55.0;Ventes;jamais;1
41;2.4;415 000;2.4;0;3.2;42.0;VENTES; Total ;0
26;2.5;422000;0.5;2;3.2;47.0;IT;Partiel;0
53;0.2;386 000;6.1;1;2.9;40.0;finance;total;0
39;8.8;612 000;0.8;1;2.8;37.0;Production; Jamais;0
41;16.2;630 000;4.5;1;3.3;42.0;IT;total;0
36;2.7;424 000;0.5;0;3.2;50.0;Finance;Partiel;0
28;;130000;7.6;0;2.2;40.0;IT;partiel;0
57;9.1;543 000;3.0;1;4.0;38.0; PRODUCTION; Jamais;0
51;2.1;533 000;1.1;0;2.2;44.0; RH ;Jamais;0
46;3.9;496000;4.3;1;3.0;46.0; IT;total;0
37;8.3;597000;4.0;0;2.9;53.0; Finance;Total;0
53;1.7;275 000;11.8;0;3.6;45.0;production;Jamais;0
42;7.7;751000;20.2;1;1.1;47.0;it; Total ;0
38;4.6;306000;11.3;0;4.1;;Production;jamais;0
39;4.1;562 000;1.0;0;2.5;36.0; PRODUCTION;Jamais;0
30;7.1;197000;2.1;0;4.4;37.0; Ventes;jamais;0
25;0.2;310000;50.7;0;2.7;36.0;production;Jamais;1
43;1.5;677 000;4.2;0;3.2;35.0;Finance; Jamais;0
55;0.9;411 000;4.1;0;5.0;48.0;rh;;0
24;1.3;576 000;13.5;0;2.9;45.0; RH ;Jamais;0
54;;486000;13.0;1;4.4;43.0;production;Partiel;0
120;;434 000;1.1;0;3.2;32.0;finance; PARTIEL;0
32;2.4;655 000;7.2;3;3.6;55.0; RH ; PARTIEL;0
46;1.4;415000;1.0;0;3.3;38.0;Ventes; Jamais;0
28;2.2;183000;14.5;0;4.0;55.0; IT; PARTIEL;1
50;2.6;330 000;0.6;0;2.5;34.0; PRODUCTION; Jamais;0
48;1.1;533 000;6.1;0;2.2;;finance;partiel;0
35;3.9;509 000;16.6;1;2.6;32.0;VENTES; PARTIEL;0
17;4.7;215000;4.7;1;3.3;45.0;Production; Jamais;1
58;;341 000;9.9;0;3.0;36.0;Production;Jamais;0
38;0.9;363 000;7.1;2;3.9;37.0;RH;Partiel;0
55;4.0;395000;16.0;1;4.5;35.0; Ventes;total;0
47;5.5;244 000;24.5;0;2.2;48.0; RH ; PARTIEL;1
51;0.2;356 000;10.1;1;2.5;47.0; Ventes; Total ;1
50;2.3;341000;20.7;0;1.8;54.0; IT;Total;1
29;3.8;566 000;3.5;0;5.0;39.0;Finance;jamais;0
35;1.2;571000;6.3;0;3.5;44.0; PRODUCTION; PARTIEL;1
39;7.4;428000;4.8;0;3.7;35.0;IT;Jamais;0
40;5.2;391 000;21.4;0;1.9;41.0;production; Jamais;1
23;0.8;471000;13.6;2;3.2;40.0; PRODUCTION;Jamais;0
42;2.4;328000;3.0;0;3.7;46.0;;Total;1
27;13.4;278000;3.8;1;2.9;49.0;VENTES;Partiel;0
50;3.2;309000;25.2;0;4.3;49.0;finance;;0
99;5.7;355 000;;1;5.0;38.0;production; Jamais;0
57;9.9;275 000;;0;2.3;49.0;it;Jamais;1
50;2.4;474000;3.7;0;2.2;43.0;;partiel;0
35;0.4;559 000;0.5;0;2.3;41.0; Finance;Total;0
58;1.0;212 000;7.1;0;4.8;39.0;; Jamais;1
37;2.7;454 000;4.3;1;4.2;40.0;finance; Jamais;0
34;2.3;417 000;1.1;1;3.1;53.0;ventes; PARTIEL;1
56;;501000;0.5;0;3.2;45.0;Ventes;jamais;0
36;5.3;448000;4.4;0;2.4;44.0;Ventes;Partiel;0
24;6.1;232000;13.7;0;4.1;41.0;production;Jamais;0
39;4.3;261 000;12.3;1;2.8;58.0;production; Jamais;1
52;11.4;454 000;2.2;2;2.9;51.0;production;jamais;0
29;14.5;604000;2.9;3;3.8;39.0;VENTES;Total;0
39;5.2;118 000;5.3;2;3.0;41.0; RH ;;0
26;7.8;502000;0.8;0;3.0;42.0;VENTES;Jamais;0
48;2.1;628000;8.2;1;3.2;44.0;it;;0
40;0.6;427 000;2.4;1;4.0;39.0;VENTES;Total;0
34;3.4;533 000;17.0;3;4.8;46.0; PRODUCTION;jamais;0
30;10.4;345000;8.4;1;;52.0;Ventes;Jamais;0
43;0.6;432 000;3.0;2;4.0;35.0;finance; PARTIEL;0
47;1.8;207000;13.3;1;3.0;36.0;production;jamais;0
57;4.0;98000;18.3;1;2.5;40.0; Finance;partiel;0
38;2.3;591 000;6.3;2;3.9;40.0; Ventes;jamais;0
28;0.2;302000;2.6;0;3.4;55.0;Production; Jamais;1
53;16.6;382 000;26.6;0;1.8;49.0;Finance;Jamais;0
45;3.1;242 000;16.2;1;2.9;49.0;IT;Partiel;1
48;1.2;239000;19.5;0;3.1;41.0;Finance;Jamais;1
25;2.0;424000;8.9;1;2.7;41.0;Production; Jamais;0
33;0.2;341000;8.4;1;4.7;34.0; IT; Jamais;0
51;3.2;507000;9.5;0;3.7;48.0;rh;partiel;0
53;6.6;518000;1.4;0;4.6;46.0; IT;Jamais;0
38;3.2;498 000;7.5;0;3.5;51.0;VENTES; PARTIEL;1
52;5.9;486 000;1.5;0;3.3;42.0;production; PARTIEL;0
53;2.7;687 000;2.4;1;2.3;42.0;ventes; Jamais;0
36;5.8;290 000;3.2;0;3.2;44.0;IT;;0
56;2.8;442 000;11.6;0;3.2;48.0; IT;Total;0
32;4.1;620000;5.8;0;1.8;34.0;it; Jamais;0
31;7.7;640 000;5.7;1;2.7;47.0; IT;jamais;0
47;;237000;8.6;1;2.9;43.0;Finance;jamais;0
46;2.2;403000;5.7;0;3.6;37.0;IT;Jamais;0
27;13.8;654000;10.1;0;3.7;32.0;Ventes;partiel;0
53;0.4;526 000;0.6;0;2.6;42.0; PRODUCTION; Total ;1
29;3.6;479000;4.1;1;3.7;52.0;production;;0
52;2.8;417000;6.0;0;3.0;53.0;IT; Jamais;1
22;3.5;392 000;0.9;1;1.0;45.0;IT; Jamais;0
52;7.4;493 000;4.9;3;2.7;55.0; Ventes;Jamais;0
51;2.0;412 000;5.0;1;4.3;43.0;VENTES; PARTIEL;0
51;16.8;444000;9.8;1;1.5;49.0; IT; Jamais;0
47;3.2;462000;3.2;2;3.3;40.0;production;total;0
39;5.8;348 000;8.8;2;4.8;40.0; Finance;total;0
48;3.6;530000;10.9;0;2.4;39.0;IT;jamais;0
32;;887 000;9.4;2;3.2;32.0; PRODUCTION; PARTIEL;0
51;;183 000;2.6;0;1.9;51.0;IT; PARTIEL;1
43;0.2;499000;10.4;1;4.8;39.0;ventes;Partiel;0
39;15.7;336000;9.6;0;3.1;38.0; IT;Jamais;0
41;4.2;537000;3.1;0;3.2;36.0;VENTES;Jamais;0
43;;457 000;2.1;0;4.6;42.0;Production;;0
23;16.2;564 000;3.0;1;3.9;54.0;it; Jamais;0
27;6.2;626 000;1.4;1;2.3;56.0;;partiel;0
31;1.9;479 000;6.6;0;2.6;33.0;IT;Jamais;0
26;2.5;620 000;5.9;0;3.7;41.0;production; PARTIEL;0
38;0.4;98000;4.8;0;2.6;37.0;finance;partiel;0
47;9.5;689000;2.8;0;1.1;49.0;IT;jamais;0
46;4.7;506 000;0.9;0;3.1;45.0;VENTES; Jamais;0
39;11.0;612 000;;0;1.7;39.0;;Partiel;0
54;9.7;267 000;6.8;0;4.8;43.0;;jamais;0
43;0.2;325 000;12.1;0;3.4;40.0;;Partiel;0
25;7.1;472000;14.3;1;2.3;53.0;production;partiel;1
51;0.6;447 000;12.2;2;2.5;46.0;Ventes;jamais;0
43;0.3;492000;4.4;0;1.3;47.0;it;partiel;0
46;4.5;613 000;8.0;1;2.1;32.0; RH ;;0
43;2.4;185 000;0.5;0;4.2;43.0;it;Partiel;0
43;6.3;596000;13.6;0;5.0;55.0;it; Jamais;0
25;13.1;451 000;19.0;0;;51.0;; Jamais;0
43;2.2;419 000;21.9;0;3.1;32.0; Ventes;jamais;0
52;3.7;229000;2.2;2;2.8;41.0;ventes;Total;0
33;0.2;525 000;2.0;1;2.2;36.0;Ventes;Total;0
44;0.9;90 000;5.5;0;5.0;53.0; PRODUCTION;partiel;0
23;4.5;547 000;8.2;1;3.0;44.0;rh; Jamais;0
35;0.2;226 000;7.4;0;5.0;38.0;it;partiel;0
38;4.2;458000;16.0;0;4.6;43.0;; PARTIEL;0
59;4.0;432 000;6.0;2;1.5;32.0;Finance;Partiel;0
30;0.4;625000;5.8;1;2.5;36.0;ventes;jamais;0
32;10.4;423000;6.2;0;2.5;43.0;VENTES; Total ;0
37;5.8;346 000;4.5;0;3.1;48.0;Finance;jamais;0
59;9.6;374 000;4.4;0;3.1;32.0;it; Jamais;0
54;0.7;641 000;3.1;1;5.0;41.0; PRODUCTION;Total;0
23;5.6;530 000;1.2;1;2.1;49.0;Production; Jamais;0
30;1.7;392 000;2.5;1;3.4;34.0;Production;;0
